adult,id,original_language,overview,popularity,release_date,title,vote_average,genres,weighted_rating,genres_text,content,release_year
False,508642,ko,"The crew of a horror web series travels to an abandoned asylum for a live broadcast, but they encounter much more than expected as they move deeper inside the nightmarish old building.",0.006092812102683242,2018-03-28,Gonjiam: Haunted Asylum,0.7950819672131147,"['Horror', 'Mystery']",0.5784456638434026,Horror Mystery,"id: 508642. title: Gonjiam: Haunted Asylum. overview: The crew of a horror web series travels to an abandoned asylum for a live broadcast, but they encounter much more than expected as they move deeper inside the nightmarish old building.. genres: Horror Mystery",2018
False,13597,en,"Frustrated with babysitting on yet another weekend night, Sarah, a teenager with an active imagination, summons the Goblins to take her baby stepbrother away. When little Toby actually disappears, Sarah must follow him into a fantastical world to rescue him from the Goblin King. Guarding his castle is the labyrinth itself, a twisted maze of deception, populated with outrageous characters and unknown dangers.",0.006102639806056947,1986-06-27,Labyrinth,0.7950819672131147,"['Adventure', 'Family', 'Fantasy']",0.611033455674701,Adventure Family Fantasy,"id: 13597. title: Labyrinth. overview: Frustrated with babysitting on yet another weekend night, Sarah, a teenager with an active imagination, summons the Goblins to take her baby stepbrother away. When little Toby actually disappears, Sarah must follow him into a fantastical world to rescue him from the Goblin King. Guarding his castle is the labyrinth itself, a twisted maze of deception, populated with outrageous characters and unknown dangers.. genres: Adventure Family Fantasy",1986
False,319,en,"Clarence marries hooker Alabama, steals cocaine from her pimp, and tries to sell it in Hollywood, while the owners of the coke try to reclaim it.",0.005204921568253945,1993-09-09,True Romance,0.8234972677595628,"['Action', 'Crime', 'Romance']",0.6639320837511267,Action Crime Romance,"id: 319. title: True Romance. overview: Clarence marries hooker Alabama, steals cocaine from her pimp, and tries to sell it in Hollywood, while the owners of the coke try to reclaim it.. genres: Action Crime Romance",1993
False,1515899,en,"Captured during Billie Eilish's sold-out world tour, a concert experience from one of the most celebrated and successful artists of her generation, presented in immersive 3D.",0.0026430455591702363,2026-05-06,Billie Eilish - Hit Me Hard and Soft: The Tour (Live in 3D),0.0,"['Music', 'Documentary']",0.5182121594009468,Music Documentary,"id: 1515899. title: Billie Eilish - Hit Me Hard and Soft: The Tour (Live in 3D). overview: Captured during Billie Eilish's sold-out world tour, a concert experience from one of the most celebrated and successful artists of her generation, presented in immersive 3D.. genres: Music Documentary",2026
False,1620996,es,"Pablo is a young, wealthy but solitary man traumatized by a fatal car accident. He meets Lara through a dating app tied to an exchange of the titular blue box. As their relationship grows, Lara draws Pablo out of his shell. But an anonymous warning alerts Pablo that Lara may not be all that she seems. What begins as an intimate connection gradually turns into a tense psychological game of cat and mouse, forcing Pablo to confront both his past and the true nature of the woman he is falling in love with.",0.003445641334689475,2026-04-16,The Blue Box,0.5464480874316939,"['Romance', 'Thriller']",0.5172993213054644,Romance Thriller,"id: 1620996. title: The Blue Box. overview: Pablo is a young, wealthy but solitary man traumatized by a fatal car accident. He meets Lara through a dating app tied to an exchange of the titular blue box. As their relationship grows, Lara draws Pablo out of his shell. But an anonymous warning alerts Pablo that Lara may not be all that she seems. What begins as an intimate connection gradually turns into a tense psychological game of cat and mouse, forcing Pablo to confront both his past and the true nature of the woman he is falling in love with.. genres: Romance Thriller",2026
False,10543,en,"Nicole Walker always dreamed of being swept away by someone special — someone strong, sexy and sensitive who would care for her more than anything else in the world. David is all that and more: a modern-day knight who charms and seduces her, body and soul. But her perfect boyfriend is not all he seems to be. His sweet facade masks a savage, dark side that will soon transform Nicole's dream into a nightmare.",0.005276506074309328,1996-04-12,Fear,0.7217486338797814,['Thriller'],0.4954791338261497,Thriller,"id: 10543. title: Fear. overview: Nicole Walker always dreamed of being swept away by someone special — someone strong, sexy and sensitive who would care for her more than anything else in the world. David is all that and more: a modern-day knight who charms and seduces her, body and soul. But her perfect boyfriend is not all he seems to be. His sweet facade masks a savage, dark side that will soon transform Nicole's dream into a nightmare.. genres: Thriller",1996
False,646207,en,"After a remote diamond mine collapses in far northern Canada, an ice road driver must lead an impossible rescue mission over a frozen ocean to save the trapped miners.",0.0053243099647937685,2021-06-24,The Ice Road,0.7389071038251366,"['Action', 'Thriller']",0.5149702941598544,Action Thriller,"id: 646207. title: The Ice Road. overview: After a remote diamond mine collapses in far northern Canada, an ice road driver must lead an impossible rescue mission over a frozen ocean to save the trapped miners.. genres: Action Thriller",2021
False,2355,en,A man who lost his family in the September 11 attack on New York City runs into his old college roommate. Rekindling the friendship is the one thing that appears able to help the man recover from his grief.,0.0062134137959358685,2007-03-22,Reign Over Me,0.7885245901639344,['Drama'],0.5784461874425508,Drama,id: 2355. title: Reign Over Me. overview: A man who lost his family in the September 11 attack on New York City runs into his old college roommate. Rekindling the friendship is the one thing that appears able to help the man recover from his grief.. genres: Drama,2007
False,3134,fr,"Nadine and Manu are two mad women, as tidy as can be, almost perfectionists. They have several things in common: extreme sex, drugs, beer and the trigger. They find the solution to their problems with guns and beware to those who dare to get in their way!",0.0039353278879768,2000-06-28,Baise-moi,0.5245901639344261,"['Crime', 'Drama', 'Thriller']",0.3527615209558679,Crime Drama Thriller,"id: 3134. title: Baise-moi. overview: Nadine and Manu are two mad women, as tidy as can be, almost perfectionists. They have several things in common: extreme sex, drugs, beer and the trigger. They find the solution to their problems with guns and beware to those who dare to get in their way!. genres: Crime Drama Thriller",2000
False,9762,en,"Delinquent Tyler Gage receives the opportunity of a lifetime after vandalizing a performing arts school, gaining him the chance to earn a scholarship and dance with up-and-coming dancer Nora.",0.005807080726818115,2006-08-11,Step Up,0.7509289617486339,"['Music', 'Drama', 'Romance', 'Crime']",0.5367312242315903,Music Drama Romance Crime,"id: 9762. title: Step Up. overview: Delinquent Tyler Gage receives the opportunity of a lifetime after vandalizing a performing arts school, gaining him the chance to earn a scholarship and dance with up-and-coming dancer Nora.. genres: Music Drama Romance Crime",2006
False,11679,en,Darius Stone's criminal record and extreme sports obsession make him the perfect candidate to be the newest XXX agent. He must save the U.S. government from a deadly conspiracy led by five-star general and Secretary of Defense George Deckert.,0.0027079569333052014,2005-04-27,xXx: State of the Union,0.5565027322404371,"['Action', 'Adventure', 'Crime', 'Thriller']",0.22855181347683295,Action Adventure Crime Thriller,id: 11679. title: xXx: State of the Union. overview: Darius Stone's criminal record and extreme sports obsession make him the perfect candidate to be the newest XXX agent. He must save the U.S. government from a deadly conspiracy led by five-star general and Secretary of Defense George Deckert.. genres: Action Adventure Crime Thriller,2005
False,1242011,en,"Years into their relationship, Tim and Millie find themselves at a crossroads as they move to the country, abandoning all that is familiar in their lives except each other. With tensions already flaring, a nightmarish encounter with a mysterious, unnatural force threatens to corrupt their lives, their love, and their flesh.",0.00939382846920659,2025-07-28,Together,0.7650273224043715,"['Horror', 'Romance']",0.5473608644840173,Horror Romance,"id: 1242011. title: Together. overview: Years into their relationship, Tim and Millie find themselves at a crossroads as they move to the country, abandoning all that is familiar in their lives except each other. With tensions already flaring, a nightmarish encounter with a mysterious, unnatural force threatens to corrupt their lives, their love, and their flesh.. genres: Horror Romance",2025
False,13885,en,"The infamous story of Benjamin Barker, a.k.a Sweeney Todd, who sets up a barber shop down in London which is the basis for a sinister partnership with his fellow tenant, Mrs. Lovett. Based on the hit Broadway musical.",0.006299800521887448,2007-12-21,Sweeney Todd: The Demon Barber of Fleet Street,0.7844808743169399,"['Drama', 'Horror']",0.6063782120475605,Drama Horror,"id: 13885. title: Sweeney Todd: The Demon Barber of Fleet Street. overview: The infamous story of Benjamin Barker, a.k.a Sweeney Todd, who sets up a barber shop down in London which is the basis for a sinister partnership with his fellow tenant, Mrs. Lovett. Based on the hit Broadway musical.. genres: Drama Horror",2007
False,8922,en,"On a desolate country highway, two homeward-bound teens are nearly run off the road by a maniac in a beat-up truck, and later spot him shoving what appears to be a body down a sewer pipe.",0.0066222947881505075,2001-07-01,Jeepers Creepers,0.707431693989071,['Horror'],0.4578523405592956,Horror,"id: 8922. title: Jeepers Creepers. overview: On a desolate country highway, two homeward-bound teens are nearly run off the road by a maniac in a beat-up truck, and later spot him shoving what appears to be a body down a sewer pipe.. genres: Horror",2001
False,1153714,en,"A father and daughter accidentally hit and kill a unicorn while en route to a weekend retreat, where his billionaire boss seeks to exploit the creature’s miraculous curative properties.",0.006437145709776758,2025-03-27,Death of a Unicorn,0.7001092896174863,"['Horror', 'Fantasy', 'Comedy']",0.4758677739089776,Horror Fantasy Comedy,"id: 1153714. title: Death of a Unicorn. overview: A father and daughter accidentally hit and kill a unicorn while en route to a weekend retreat, where his billionaire boss seeks to exploit the creature’s miraculous curative properties.. genres: Horror Fantasy Comedy",2025
